left_eye_263,left_eye_387,left_eye_385,left_eye_362,left_eye_380,left_eye_373,right_eye_133,right_eye_158,right_eye_160,right_eye_33,right_eye_144,right_eye_153,right_eye_144,mouth_78,mouth_82,mouth_312,mouth_308,mouth_317,mouth_87,head_10,head_152
"[0.7234055995941162, 0.4910795986652374, 0.0614498034119606]","[0.7053385376930237, 0.48585787415504456, 0.04300938919186592]","[0.6816556453704834, 0.4842151701450348, 0.03566568344831467]","[0.6569575071334839, 0.48862963914871216, 0.03970169275999069]","[0.6802982091903687, 0.4924989938735962, 0.035624466836452484]","[0.7056366205215454, 0.49296000599861145, 0.04315636679530144]","[0.5694944858551025, 0.48647409677505493, 0.026190446689724922]","[0.5435352325439453, 0.4809938967227936, 0.016329526901245117]","[0.5191636085510254, 0.4820410907268524, 0.01706906408071518]","[0.4980849325656891, 0.4866029620170593, 0.03101561963558197]","[0.5192188024520874, 0.48927751183509827, 0.017859715968370438]","[0.5456459522247314, 0.48952364921569824, 0.016556981950998306]","[0.5192188024520874, 0.48927751183509827, 0.017859715968370438]","[0.5458972454071045, 0.579490065574646, -0.024937015026807785]","[0.6007013320922852, 0.5756300687789917, -0.048548758029937744]","[0.6363839507102966, 0.5758764743804932, -0.04364077374339104]","[0.6801849603652954, 0.5801092386245728, -0.008472171612083912]","[0.6361793875694275, 0.576281726360321, -0.046801477670669556]","[0.6014874577522278, 0.5761595368385315, -0.05224442109465599]","[0.6169379353523254, 0.4049645662307739, 0.03429166600108147]","[0.613663911819458, 0.6580551862716675, -0.04756956920027733]"
"[0.7233819365501404, 0.49110737442970276, 0.06148366630077362]","[0.7053435444831848, 0.4858997166156769, 0.04298907145857811]","[0.681628406047821, 0.48425084352493286, 0.03561452403664589]","[0.6568903923034668, 0.48865562677383423, 0.0396658219397068]","[0.6802493929862976, 0.4925408363342285, 0.03560779616236687]","[0.7056064009666443, 0.493002325296402, 0.043166615068912506]","[0.569376528263092, 0.48650386929512024, 0.026051588356494904]","[0.5433640480041504, 0.4810333251953125, 0.016135217621922493]","[0.5189632177352905, 0.48210036754608154, 0.016863850876688957]","[0.49792006611824036, 0.48665568232536316, 0.030823208391666412]","[0.519042432308197, 0.489337295293808, 0.017685817554593086]","[0.5454900860786438, 0.4895767867565155, 0.01640016958117485]","[0.519042432308197, 0.489337295293808, 0.017685817554593086]","[0.5459625720977783, 0.579740583896637, -0.024934973567724228]","[0.6007190346717834, 0.5758650302886963, -0.048475928604602814]","[0.6363392472267151, 0.5760940909385681, -0.04355612397193909]","[0.6801583170890808, 0.5802947282791138, -0.00840874295681715]","[0.6361792087554932, 0.5765216946601868, -0.04667077586054802]","[0.6014834642410278, 0.5764111280441284, -0.05212266370654106]","[0.6168574094772339, 0.40508347749710083, 0.03407040610909462]","[0.6135745644569397, 0.6580876111984253, -0.047187402844429016]"
"[0.7231820821762085, 0.49110960960388184, 0.06162024661898613]","[0.7051715850830078, 0.48584550619125366, 0.043179236352443695]","[0.6814562082290649, 0.4842011034488678, 0.03583826124668121]","[0.6567333936691284, 0.4887092411518097, 0.03985348716378212]","[0.680119514465332, 0.49258214235305786, 0.03576507046818733]","[0.705453097820282, 0.4930209815502167, 0.04329942166805267]","[0.5693044066429138, 0.4865756630897522, 0.02632911130785942]","[0.5432862043380737, 0.48099735379219055, 0.01647818833589554]","[0.5188666582107544, 0.48205721378326416, 0.01720757782459259]","[0.4978600740432739, 0.48667991161346436, 0.031143944710493088]","[0.5189386606216431, 0.48938775062561035, 0.017970092594623566]","[0.5453791618347168, 0.489642858505249, 0.016675550490617752]","[0.5189386606216431, 0.48938775062561035, 0.017970092594623566]","[0.5457741022109985, 0.5798190236091614, -0.025091219693422318]","[0.6005805730819702, 0.5759148597717285, -0.048644229769706726]","[0.63621985912323, 0.5761445164680481, -0.04374180734157562]","[0.6800950169563293, 0.5803830623626709, -0.008633828721940517]","[0.6360472440719604, 0.5765559077262878, -0.04691941663622856]","[0.6013454794883728, 0.5764428377151489, -0.05235329270362854]","[0.6167313456535339, 0.4050138592720032, 0.03464600816369057]","[0.6134645938873291, 0.6581020951271057, -0.04785396531224251]"
"[0.7228999733924866, 0.49107804894447327, 0.06166960299015045]","[0.7048870325088501, 0.48585978150367737, 0.04328688979148865]","[0.6812227964401245, 0.4842525124549866, 0.0359741635620594]","[0.6565690636634827, 0.4887421429157257, 0.03995345160365105]","[0.6798510551452637, 0.49255862832069397, 0.03587447851896286]","[0.7051407098770142, 0.4929882287979126, 0.043395668268203735]","[0.5691105723381042, 0.48661378026008606, 0.026406491175293922]","[0.5431774854660034, 0.48108768463134766, 0.01657118834555149]","[0.518804132938385, 0.482125461101532, 0.01728370413184166]","[0.49773070216178894, 0.4866851270198822, 0.031158853322267532]","[0.5189080834388733, 0.4893578290939331, 0.018035348504781723]","[0.5453025102615356, 0.4896164536476135, 0.016746139153838158]","[0.5189080834388733, 0.4893578290939331, 0.018035348504781723]","[0.5452568531036377, 0.5795495510101318, -0.025078123435378075]","[0.6001010537147522, 0.5756859183311462, -0.048653535544872284]","[0.6358629465103149, 0.5759606957435608, -0.043742258101701736]","[0.6796976327896118, 0.5802797079086304, -0.008606372401118279]","[0.6356405019760132, 0.5763579607009888, -0.04696820303797722]","[0.600918173789978, 0.576209545135498, -0.052393365651369095]","[0.6165982484817505, 0.405048668384552, 0.034791551530361176]","[0.6131644248962402, 0.6579951643943787, -0.04812680929899216]"
"[0.7230983376502991, 0.491112619638443, 0.06179753690958023]","[0.7050203084945679, 0.4859224259853363, 0.04340274631977081]","[0.6813042163848877, 0.4843572974205017, 0.03609355539083481]","[0.656628429889679, 0.48886463046073914, 0.04008378088474274]","[0.6799628138542175, 0.49267274141311646, 0.03596659004688263]","[0.7053186297416687, 0.4930751323699951, 0.043473608791828156]","[0.5689493417739868, 0.4867953062057495, 0.02662479877471924]","[0.542930006980896, 0.48126351833343506, 0.016812359914183617]","[0.518501877784729, 0.482300728559494, 0.01756703481078148]","[0.4974116086959839, 0.4868716299533844, 0.03150218352675438]","[0.5185858011245728, 0.4895747900009155, 0.01828068494796753]","[0.5450537800788879, 0.48983240127563477, 0.01696421578526497]","[0.5185858011245728, 0.4895747900009155, 0.01828068494796753]","[0.5451017618179321, 0.5796325206756592, -0.02518928423523903]","[0.6000561714172363, 0.5757034420967102, -0.04891357943415642]","[0.6359428763389587, 0.5759454965591431, -0.04402122646570206]","[0.6799274682998657, 0.580247700214386, -0.008829007856547832]","[0.6357260346412659, 0.576349675655365, -0.04722246527671814]","[0.6008931398391724, 0.5762331485748291, -0.05263126268982887]","[0.6163768172264099, 0.4051547050476074, 0.03523480147123337]","[0.6134200692176819, 0.6579978466033936, -0.048551201820373535]"
"[0.7229406833648682, 0.4911445379257202, 0.06184929236769676]","[0.7048448920249939, 0.4859306216239929, 0.043493516743183136]","[0.6811398267745972, 0.4843469560146332, 0.036234814673662186]","[0.6564208269119263, 0.48885977268218994, 0.04023982957005501]","[0.6797952055931091, 0.49268147349357605, 0.03606955334544182]","[0.7051613330841064, 0.4930901527404785, 0.04353674128651619]","[0.5687975883483887, 0.4867761433124542, 0.026949703693389893]","[0.5427865386009216, 0.4812471270561218, 0.01719316840171814]","[0.5183581113815308, 0.4822850525379181, 0.017982913181185722]","[0.497251033782959, 0.48687320947647095, 0.03192397579550743]","[0.5184184312820435, 0.4895641803741455, 0.018650531768798828]","[0.5448899269104004, 0.4898114800453186, 0.017300007864832878]","[0.5184184312820435, 0.4895641803741455, 0.018650531768798828]","[0.5451884865760803, 0.5795291662216187, -0.025431258603930473]","[0.5999711155891418, 0.5755344033241272, -0.049084145575761795]","[0.6358098983764648, 0.5757845640182495, -0.04425380378961563]","[0.6797326803207397, 0.5801675319671631, -0.009248553775250912]","[0.6355875730514526, 0.5761735439300537, -0.04748162999749184]","[0.6008310914039612, 0.5760465860366821, -0.05282868817448616]","[0.6161642670631409, 0.40516358613967896, 0.03585954010486603]","[0.6134209632873535, 0.6578838229179382, -0.04912710189819336]"
"[0.722695529460907, 0.4909467399120331, 0.06116962432861328]","[0.7046401500701904, 0.48577284812927246, 0.04280446097254753]","[0.6809630990028381, 0.4842081665992737, 0.035524945706129074]","[0.6563249230384827, 0.4887136220932007, 0.0395737886428833]","[0.6796255111694336, 0.4925002455711365, 0.035469260066747665]","[0.7049439549446106, 0.4928964674472809, 0.04295285418629646]","[0.5689324140548706, 0.48663023114204407, 0.026235174387693405]","[0.5430126190185547, 0.4811256527900696, 0.01639976166188717]","[0.5186171531677246, 0.4821546971797943, 0.017178723588585854]","[0.497531920671463, 0.4866998791694641, 0.03112874925136566]","[0.5187278389930725, 0.4893668293952942, 0.017973167821764946]","[0.5451263785362244, 0.4896273612976074, 0.01662340760231018]","[0.5187278389930725, 0.4893668293952942, 0.017973167821764946]","[0.5452656149864197, 0.5791881084442139, -0.024620836600661278]","[0.600025475025177, 0.5754414200782776, -0.04836084321141243]","[0.6358000040054321, 0.5757145881652832, -0.04350739344954491]","[0.6796990633010864, 0.5799272656440735, -0.008390599861741066]","[0.635590136051178, 0.5760509371757507, -0.04667701572179794]","[0.6008944511413574, 0.575904905796051, -0.052051037549972534]","[0.6160557866096497, 0.4051964282989502, 0.0340019054710865]","[0.6136996746063232, 0.6575276255607605, -0.04746013507246971]"
"[0.7228331565856934, 0.49103474617004395, 0.06134916841983795]","[0.7046756744384766, 0.48588675260543823, 0.04303096607327461]","[0.681023359298706, 0.4843207597732544, 0.03579990565776825]","[0.6563751101493835, 0.48874980211257935, 0.03984738141298294]","[0.6796863675117493, 0.4925571084022522, 0.03568831458687782]","[0.705030620098114, 0.49296581745147705, 0.04312418773770332]","[0.568920373916626, 0.4866364002227783, 0.026697922497987747]","[0.5430319905281067, 0.48118090629577637, 0.016944611445069313]","[0.5186715126037598, 0.48220086097717285, 0.01777585782110691]","[0.49756962060928345, 0.48672232031822205, 0.031738314777612686]","[0.5186785459518433, 0.48938924074172974, 0.018497852608561516]","[0.5450797080993652, 0.48965612053871155, 0.01711168698966503]","[0.5186785459518433, 0.48938924074172974, 0.018497852608561516]","[0.5452036261558533, 0.5792490243911743, -0.02497139386832714]","[0.599864661693573, 0.5753635168075562, -0.04875781759619713]","[0.6356362700462341, 0.5756221413612366, -0.04397062212228775]","[0.6797322034835815, 0.5799372792243958, -0.008969992399215698]","[0.6354443430900574, 0.5759454369544983, -0.04717276990413666]","[0.6007367372512817, 0.5758086442947388, -0.05248408392071724]","[0.6160265207290649, 0.4051644206047058, 0.035082560032606125]","[0.6136988997459412, 0.6576251983642578, -0.0484924390912056]"
"[0.72295081615448, 0.4910384714603424, 0.06138193979859352]","[0.7047930955886841, 0.4858715534210205, 0.04302341863512993]","[0.6811033487319946, 0.4842897057533264, 0.03577377647161484]","[0.6564502716064453, 0.4887276589870453, 0.03983955457806587]","[0.6797827482223511, 0.49254336953163147, 0.035681866109371185]","[0.7051423788070679, 0.4929606318473816, 0.04314102977514267]","[0.5688255429267883, 0.48663976788520813, 0.02662903256714344]","[0.5428906083106995, 0.4811898171901703, 0.016846952959895134]","[0.5184949636459351, 0.4822341203689575, 0.017667187377810478]","[0.4973905086517334, 0.4867822229862213, 0.03163490444421768]","[0.5185542106628418, 0.48944395780563354, 0.018410051241517067]","[0.5449742078781128, 0.48968270421028137, 0.017036093398928642]","[0.5185542106628418, 0.48944395780563354, 0.018410051241517067]","[0.5455449223518372, 0.5793880224227905, -0.02503040060400963]","[0.600160539150238, 0.5754795670509338, -0.04870609939098358]","[0.6358557343482971, 0.5757201313972473, -0.04391663894057274]","[0.6798722743988037, 0.5800033807754517, -0.008992920629680157]","[0.6356917023658752, 0.5760325789451599, -0.047154493629932404]","[0.6010171175003052, 0.5759143233299255, -0.0524623766541481]","[0.6159961223602295, 0.40517252683639526, 0.03491392731666565]","[0.6138134598731995, 0.6576353311538696, -0.04823393002152443]"
"[0.7232730984687805, 0.49102672934532166, 0.06156046688556671]","[0.7050901055335999, 0.4858596920967102, 0.04318888857960701]","[0.6813619136810303, 0.48428642749786377, 0.035932622849941254]","[0.656676173210144, 0.48873093724250793, 0.039983514696359634]","[0.6800387501716614, 0.4925537407398224, 0.035821523517370224]","[0.7054297924041748, 0.4929705858230591, 0.043286051601171494]","[0.5688789486885071, 0.4866364598274231, 0.0267379991710186]","[0.5429396629333496, 0.48118260502815247, 0.016955900937318802]","[0.5185232758522034, 0.4822157621383667, 0.01777581498026848]","[0.4973890781402588, 0.4867582619190216, 0.03175897151231766]","[0.5185548663139343, 0.48942703008651733, 0.018498485907912254]","[0.5450029373168945, 0.4896761476993561, 0.017119789496064186]","[0.5185548663139343, 0.48942703008651733, 0.018498485907912254]","[0.5454018115997314, 0.579431414604187, -0.02519555576145649]","[0.6000630259513855, 0.5755135416984558, -0.04886861518025398]","[0.635787844657898, 0.5757736563682556, -0.04406311362981796]","[0.6798123121261597, 0.5801248550415039, -0.009116939269006252]","[0.6355943083763123, 0.5760880708694458, -0.04728511720895767]","[0.600907027721405, 0.5759484767913818, -0.052597276866436005]","[0.6162413954734802, 0.40505683422088623, 0.03520280122756958]","[0.6136375069618225, 0.6577705144882202, -0.04851258546113968]"
"[0.7231431007385254, 0.49094459414482117, 0.06147478520870209]","[0.7049455046653748, 0.4858144223690033, 0.043109554797410965]","[0.6812486052513123, 0.48424404859542847, 0.03586887940764427]","[0.6566057801246643, 0.4886454939842224, 0.03994237259030342]","[0.6799470782279968, 0.4924434721469879, 0.035776764154434204]","[0.7053154706954956, 0.4928590655326843, 0.043231140822172165]","[0.5688192844390869, 0.4866357445716858, 0.02671894058585167]","[0.5428873896598816, 0.4812847971916199, 0.016927335411310196]","[0.5185180902481079, 0.48235756158828735, 0.017744990065693855]","[0.49740397930145264, 0.48687952756881714, 0.03172249346971512]","[0.5185827612876892, 0.48947587609291077, 0.018490057438611984]","[0.5449934005737305, 0.4896838068962097, 0.01710790954530239]","[0.5185827612876892, 0.48947587609291077, 0.018490057438611984]","[0.5455386638641357, 0.5794286131858826, -0.025142047554254532]","[0.6001286506652832, 0.5755312442779541, -0.04872832074761391]","[0.6358400583267212, 0.5757800340652466, -0.043942224234342575]","[0.6798537373542786, 0.5800765752792358, -0.009105793200433254]","[0.63565593957901, 0.5760244131088257, -0.04722776636481285]","[0.6010053157806396, 0.5758982300758362, -0.052509866654872894]","[0.6159959435462952, 0.40499505400657654, 0.03513459116220474]","[0.6138401031494141, 0.6577711701393127, -0.04847384989261627]"
