left_eye_263,left_eye_387,left_eye_385,left_eye_362,left_eye_380,left_eye_373,right_eye_133,right_eye_158,right_eye_160,right_eye_33,right_eye_144,right_eye_153,right_eye_144,mouth_78,mouth_82,mouth_312,mouth_308,mouth_317,mouth_87,head_10,head_152
"[0.6632959842681885, 0.2531481981277466, 0.07751006633043289]","[0.650007963180542, 0.24578019976615906, 0.062234438955783844]","[0.6295973062515259, 0.24394211173057556, 0.0544782318174839]","[0.6081500053405762, 0.2497052252292633, 0.05367358773946762]","[0.6288893222808838, 0.2543664872646332, 0.05063860863447189]","[0.6500452756881714, 0.2556092143058777, 0.05904608219861984]","[0.5289401412010193, 0.24594566226005554, 0.032779499888420105]","[0.5073886513710022, 0.2381439357995987, 0.024913839995861053]","[0.4848801791667938, 0.23866216838359833, 0.02285704016685486]","[0.4648062586784363, 0.24494871497154236, 0.03142610937356949]","[0.4834483563899994, 0.24863368272781372, 0.020446883514523506]","[0.5070796012878418, 0.24888385832309723, 0.02162817493081093]","[0.4834483563899994, 0.24863368272781372, 0.020446883514523506]","[0.5220077633857727, 0.3267880976200104, -0.050673674792051315]","[0.5649517178535461, 0.31845444440841675, -0.05979934707283974]","[0.5884416699409485, 0.3191062808036804, -0.05288321524858475]","[0.615547239780426, 0.3291672468185425, -0.02648247964680195]","[0.5887781381607056, 0.32199564576148987, -0.055055808275938034]","[0.563933253288269, 0.32124924659729004, -0.06238226592540741]","[0.5739476084709167, 0.17916350066661835, 0.07170616090297699]","[0.5690227150917053, 0.39319556951522827, -0.07136084139347076]"
"[0.6672444343566895, 0.25312119722366333, 0.07802565395832062]","[0.6540586948394775, 0.2457406222820282, 0.06292688846588135]","[0.6338800191879272, 0.24388805031776428, 0.055181533098220825]","[0.6125554442405701, 0.24957942962646484, 0.05418256297707558]","[0.6330127716064453, 0.2542538046836853, 0.05119514465332031]","[0.6539995670318604, 0.25552991032600403, 0.05961599946022034]","[0.5339020490646362, 0.2454860806465149, 0.03298234939575195]","[0.512823224067688, 0.23759067058563232, 0.02521333284676075]","[0.49057692289352417, 0.23797866702079773, 0.023031242191791534]","[0.4704492688179016, 0.2441379576921463, 0.031305912882089615]","[0.488959401845932, 0.2478587031364441, 0.020483186468482018]","[0.5123263597488403, 0.24824252724647522, 0.021780457347631454]","[0.488959401845932, 0.2478587031364441, 0.020483186468482018]","[0.5265248417854309, 0.32573744654655457, -0.051238179206848145]","[0.5691416263580322, 0.31752443313598633, -0.059951815754175186]","[0.5925987958908081, 0.3182678818702698, -0.05295836925506592]","[0.6193605661392212, 0.3284339904785156, -0.026715921238064766]","[0.5928218364715576, 0.3211747407913208, -0.05518664792180061]","[0.568224310874939, 0.32033461332321167, -0.06257069855928421]","[0.5793906450271606, 0.17889201641082764, 0.07285520434379578]","[0.5730441808700562, 0.392401784658432, -0.07267645746469498]"
"[0.6748660802841187, 0.2558366060256958, 0.08139178901910782]","[0.6619982123374939, 0.24856819212436676, 0.06657663732767105]","[0.6423722505569458, 0.24657636880874634, 0.05857062712311745]","[0.6215527653694153, 0.2514493763446808, 0.056798942387104034]","[0.6415284872055054, 0.2565101683139801, 0.05406942218542099]","[0.6619283556938171, 0.2580772936344147, 0.0628122016787529]","[0.5430901646614075, 0.24642449617385864, 0.03361321613192558]","[0.5230039358139038, 0.23885831236839294, 0.025942157953977585]","[0.501164972782135, 0.23894450068473816, 0.023186640813946724]","[0.48071062564849854, 0.24474084377288818, 0.03052709437906742]","[0.49898359179496765, 0.24858209490776062, 0.020101862028241158]","[0.5220312476158142, 0.2490972876548767, 0.021993596106767654]","[0.49898359179496765, 0.24858209490776062, 0.020101862028241158]","[0.5392557382583618, 0.3246193826198578, -0.05535994842648506]","[0.5807101130485535, 0.3162882328033447, -0.06157056987285614]","[0.6029930710792542, 0.3171747624874115, -0.054146658629179]","[0.6282171607017517, 0.3277239203453064, -0.029117349535226822]","[0.6036087870597839, 0.3196844756603241, -0.05691134184598923]","[0.5800154209136963, 0.3186536729335785, -0.06475264579057693]","[0.5892535448074341, 0.18226853013038635, 0.07925327122211456]","[0.582750141620636, 0.3898279666900635, -0.07740194350481033]"
"[0.677895724773407, 0.25610965490341187, 0.08441975712776184]","[0.6654332280158997, 0.24868156015872955, 0.069730743765831]","[0.6463865041732788, 0.24659204483032227, 0.061569616198539734]","[0.6259891390800476, 0.2511630058288574, 0.05915628746151924]","[0.6456689834594727, 0.25614598393440247, 0.056671496480703354]","[0.6655657291412354, 0.2578256130218506, 0.06563981622457504]","[0.5486096739768982, 0.2460290640592575, 0.03460463136434555]","[0.5289525389671326, 0.23866373300552368, 0.026891285553574562]","[0.507443368434906, 0.2387993335723877, 0.023651540279388428]","[0.4867017865180969, 0.24461504817008972, 0.030541956424713135]","[0.5050176978111267, 0.2479669749736786, 0.020439647138118744]","[0.5278294682502747, 0.24848610162734985, 0.022671841084957123]","[0.5050176978111267, 0.2479669749736786, 0.020439647138118744]","[0.5430837273597717, 0.3228324055671692, -0.057364143431186676]","[0.5857540369033813, 0.31434744596481323, -0.0631781816482544]","[0.6083983182907104, 0.3153568208217621, -0.05526065453886986]","[0.6331844329833984, 0.3264748454093933, -0.0293557271361351]","[0.6087241768836975, 0.31802135705947876, -0.058237042278051376]","[0.5849006175994873, 0.31686171889305115, -0.06657570600509644]","[0.5938412547111511, 0.1831405758857727, 0.08408007025718689]","[0.5875202417373657, 0.3890443444252014, -0.0826367512345314]"
"[0.6807529926300049, 0.25680121779441833, 0.08580484241247177]","[0.6683201193809509, 0.2493613064289093, 0.07128200680017471]","[0.6494177579879761, 0.24721816182136536, 0.06313253939151764]","[0.6290282011032104, 0.25160402059555054, 0.06047382950782776]","[0.6486340165138245, 0.2566506564617157, 0.05797513946890831]","[0.6684534549713135, 0.25842979550361633, 0.0669410228729248]","[0.5519852042198181, 0.2462887465953827, 0.035671666264534]","[0.5324563384056091, 0.23899030685424805, 0.02810031548142433]","[0.5110294818878174, 0.23906075954437256, 0.02475851960480213]","[0.4901313781738281, 0.2448142170906067, 0.03141413629055023]","[0.5084776878356934, 0.24816486239433289, 0.021302836015820503]","[0.5312801599502563, 0.248702734708786, 0.023639550432562828]","[0.5084776878356934, 0.24816486239433289, 0.021302836015820503]","[0.5460686087608337, 0.32276177406311035, -0.058929815888404846]","[0.5888908505439758, 0.3139515817165375, -0.06450590491294861]","[0.6116368174552917, 0.315029501914978, -0.056500859558582306]","[0.6361751556396484, 0.32662010192871094, -0.03056412562727928]","[0.6119730472564697, 0.3180549144744873, -0.059561438858509064]","[0.5880122780799866, 0.3168204426765442, -0.06798547506332397]","[0.597296953201294, 0.18411090970039368, 0.08777717500925064]","[0.5902808308601379, 0.389303594827652, -0.08588346093893051]"
"[0.683087944984436, 0.2567637264728546, 0.08621253073215485]","[0.670829176902771, 0.24917292594909668, 0.07162000238895416]","[0.6518909335136414, 0.2470114827156067, 0.06339963525533676]","[0.6313947439193726, 0.2515910267829895, 0.0606035515666008]","[0.6512083411216736, 0.25667083263397217, 0.05820528417825699]","[0.6709991097450256, 0.25839748978614807, 0.06727327406406403]","[0.5547478199005127, 0.24637235701084137, 0.035284630954265594]","[0.5351060628890991, 0.23891687393188477, 0.027613041922450066]","[0.5136728882789612, 0.23902317881584167, 0.024121174588799477]","[0.4928296208381653, 0.24493107199668884, 0.03070230782032013]","[0.5110979676246643, 0.24825727939605713, 0.02071056328713894]","[0.5339002013206482, 0.2488105297088623, 0.023159408941864967]","[0.5110979676246643, 0.24825727939605713, 0.02071056328713894]","[0.548896074295044, 0.3223545253276825, -0.05877215787768364]","[0.5922216176986694, 0.313723087310791, -0.06401101499795914]","[0.6150407195091248, 0.31481480598449707, -0.05585602670907974]","[0.639760434627533, 0.3262871205806732, -0.029915019869804382]","[0.6154963374137878, 0.3173695504665375, -0.059157099574804306]","[0.5915482044219971, 0.316119521856308, -0.0676892027258873]","[0.5997146368026733, 0.18410465121269226, 0.08726190030574799]","[0.5935813188552856, 0.3881257176399231, -0.08605600148439407]"
"[0.6852307915687561, 0.25689971446990967, 0.08699847012758255]","[0.6730093359947205, 0.24930459260940552, 0.07256583869457245]","[0.6543071866035461, 0.24708892405033112, 0.0643979012966156]","[0.6339848637580872, 0.2513903081417084, 0.061414334923028946]","[0.6536039113998413, 0.2565493881702423, 0.05902804061770439]","[0.673225998878479, 0.2584056258201599, 0.06806482374668121]","[0.5573987364768982, 0.24589985609054565, 0.03603772073984146]","[0.5380933284759521, 0.23861432075500488, 0.028492650017142296]","[0.5168002843856812, 0.23864275217056274, 0.024975532665848732]","[0.4957745373249054, 0.2444562315940857, 0.0313582569360733]","[0.514022171497345, 0.2477128803730011, 0.02139340713620186]","[0.5367352962493896, 0.24828040599822998, 0.023878170177340508]","[0.514022171497345, 0.2477128803730011, 0.02139340713620186]","[0.551263689994812, 0.3217470049858093, -0.059914518147706985]","[0.5944725275039673, 0.3127366900444031, -0.06500692665576935]","[0.6172059774398804, 0.31392228603363037, -0.05680035799741745]","[0.641223132610321, 0.3259817063808441, -0.03079531341791153]","[0.6173921227455139, 0.3171289265155792, -0.0599229596555233]","[0.5934550166130066, 0.31577014923095703, -0.06854759901762009]","[0.6026000380516052, 0.18433231115341187, 0.0898602157831192]","[0.5953515768051147, 0.38807907700538635, -0.08794780820608139]"
"[0.6881243586540222, 0.2571491003036499, 0.08667896687984467]","[0.675952672958374, 0.24946288764476776, 0.07233407348394394]","[0.6572739481925964, 0.24721463024616241, 0.06429113447666168]","[0.636955738067627, 0.2515246272087097, 0.061341848224401474]","[0.6566207408905029, 0.25674882531166077, 0.058875638991594315]","[0.6762340068817139, 0.2586182653903961, 0.06782416254281998]","[0.5604124665260315, 0.24601958692073822, 0.036344073712825775]","[0.5411500930786133, 0.23870332539081573, 0.028955744579434395]","[0.5199425220489502, 0.23875820636749268, 0.025501877069473267]","[0.49909040331840515, 0.24467414617538452, 0.031918711960315704]","[0.5170667767524719, 0.24790094792842865, 0.02187539078295231]","[0.5397182106971741, 0.24846938252449036, 0.024276332929730415]","[0.5170667767524719, 0.24790094792842865, 0.02187539078295231]","[0.5548484325408936, 0.3214360773563385, -0.059833113104104996]","[0.5979514122009277, 0.3124675452709198, -0.06487898528575897]","[0.6205911636352539, 0.3136384189128876, -0.05688277631998062]","[0.6450448036193848, 0.3255983889102936, -0.03139156103134155]","[0.6208075881004333, 0.3164169490337372, -0.06013647839426994]","[0.5969721674919128, 0.31506866216659546, -0.06854835897684097]","[0.6053740382194519, 0.18455854058265686, 0.09045783430337906]","[0.5986668467521667, 0.38764461874961853, -0.08874537795782089]"
"[0.6884509921073914, 0.25733768939971924, 0.08788760006427765]","[0.6764729619026184, 0.24965567886829376, 0.07352645695209503]","[0.658028244972229, 0.24737416207790375, 0.06533777713775635]","[0.6378464698791504, 0.25158044695854187, 0.06214887276291847]","[0.6572965383529663, 0.2567315697669983, 0.059839650988578796]","[0.6767250299453735, 0.2586202025413513, 0.06892012804746628]","[0.5618595480918884, 0.24592822790145874, 0.036425333470106125]","[0.5426979064941406, 0.23857572674751282, 0.028889724984765053]","[0.5215376615524292, 0.23859885334968567, 0.02520482987165451]","[0.5005086660385132, 0.24444836378097534, 0.03144253045320511]","[0.518699049949646, 0.24758510291576385, 0.02158554643392563]","[0.5412867069244385, 0.24821066856384277, 0.024191685020923615]","[0.518699049949646, 0.24758510291576385, 0.02158554643392563]","[0.5548176169395447, 0.3213370740413666, -0.06032226234674454]","[0.5987616777420044, 0.31243476271629333, -0.06522449105978012]","[0.6218137741088867, 0.3136906921863556, -0.056881122291088104]","[0.6462303996086121, 0.32581251859664917, -0.030791519209742546]","[0.6219402551651001, 0.3164929449558258, -0.06040513515472412]","[0.5978015661239624, 0.3150659203529358, -0.06916877627372742]","[0.6068945527076721, 0.18448208272457123, 0.09152232110500336]","[0.5993857979774475, 0.38771191239356995, -0.09021898359060287]"
"[0.6897767186164856, 0.25732073187828064, 0.0871352106332779]","[0.6778141260147095, 0.2496355175971985, 0.07271204888820648]","[0.6592134237289429, 0.24736300110816956, 0.06450685113668442]","[0.6388611197471619, 0.25164785981178284, 0.06142271310091019]","[0.6584099531173706, 0.2567896842956543, 0.059115078300237656]","[0.6779510974884033, 0.2586590051651001, 0.06818660348653793]","[0.5626890659332275, 0.2460550218820572, 0.03586108982563019]","[0.5433271527290344, 0.2386898398399353, 0.02827584557235241]","[0.5220252275466919, 0.23873740434646606, 0.024670496582984924]","[0.501053512096405, 0.24461376667022705, 0.031036050990223885]","[0.5193293690681458, 0.24775658547878265, 0.02115274779498577]","[0.5420318841934204, 0.24837656319141388, 0.023672891780734062]","[0.5193293690681458, 0.24775658547878265, 0.02115274779498577]","[0.5553751587867737, 0.3213611841201782, -0.05951743572950363]","[0.5993632674217224, 0.312703400850296, -0.06470578163862228]","[0.6224550008773804, 0.3139621615409851, -0.05639837682247162]","[0.6470473408699036, 0.32590073347091675, -0.03014913760125637]","[0.6226282715797424, 0.3167324960231781, -0.059669334441423416]","[0.5984383821487427, 0.31530964374542236, -0.06838832050561905]","[0.6074842214584351, 0.18464642763137817, 0.08972395211458206]","[0.6005591154098511, 0.388235867023468, -0.08852486312389374]"
"[0.6897269487380981, 0.2573018968105316, 0.0869789570569992]","[0.6778238415718079, 0.2496062070131302, 0.07260222733020782]","[0.6592194437980652, 0.2474002242088318, 0.06444387882947922]","[0.6388356685638428, 0.2519270181655884, 0.06133662536740303]","[0.6583235859870911, 0.25688636302948, 0.059041909873485565]","[0.6778721809387207, 0.2586594521999359, 0.06806166470050812]","[0.5624733567237854, 0.2465994507074356, 0.035881202667951584]","[0.543003499507904, 0.23909449577331543, 0.02831314131617546]","[0.5216554999351501, 0.23918934166431427, 0.02471686340868473]","[0.5007495880126953, 0.245201975107193, 0.0310993529856205]","[0.5192244052886963, 0.2483019083738327, 0.021227339282631874]","[0.5419246554374695, 0.24889376759529114, 0.023718230426311493]","[0.5192244052886963, 0.2483019083738327, 0.021227339282631874]","[0.5549981594085693, 0.3222258388996124, -0.05922831594944]","[0.5992842316627502, 0.3133705258369446, -0.06447479128837585]","[0.6226866245269775, 0.31458601355552673, -0.056150298565626144]","[0.6472041010856628, 0.3265339136123657, -0.0298023484647274]","[0.6226755380630493, 0.3174651861190796, -0.05947313457727432]","[0.5983258485794067, 0.3161131739616394, -0.0682075023651123]","[0.6070346236228943, 0.1845475435256958, 0.08935225009918213]","[0.6011126637458801, 0.3890807032585144, -0.08854667097330093]"
