left_eye_263,left_eye_387,left_eye_385,left_eye_326,left_eye_380,left_eye_373,right_eye_33,right_eye_160,right_eye_158,right_eye_133,right_eye_153,right_eye_144,mouth_78,mouth_82,mouth_312,mouth_308,mouth_317,mouth_87,head_10,head_152
"[0.4995604455471039, 0.5036674737930298, 0.05340193212032318]","[0.5381052494049072, 0.4937586486339569, 0.055130116641521454]","[0.5720119476318359, 0.4945777654647827, 0.06340988725423813]","[0.5957155227661133, 0.5029921531677246, 0.0839582309126854]","[0.5702681541442871, 0.509130597114563, 0.06067483499646187]","[0.5363537073135376, 0.5089327096939087, 0.051581718027591705]","[0.3820536732673645, 0.5037217140197754, 0.042844466865062714]","[0.3488406538963318, 0.49379459023475647, 0.0331759937107563]","[0.3141465485095978, 0.4951060116291046, 0.03406823053956032]","[0.28646549582481384, 0.5035454034805298, 0.04943079128861427]","[0.3161966800689697, 0.5093064904212952, 0.031949739903211594]","[0.35109883546829224, 0.5087084770202637, 0.030247261747717857]","[0.36212292313575745, 0.6328864097595215, -0.04631512239575386]","[0.4266098141670227, 0.6234835982322693, -0.07139541953802109]","[0.4683288335800171, 0.6232267022132874, -0.0661393404006958]","[0.5204566121101379, 0.6317141056060791, -0.02767939679324627]","[0.46846804022789, 0.6282235383987427, -0.0677492618560791]","[0.4254624545574188, 0.6284847259521484, -0.07321473211050034]","[0.4486667811870575, 0.3961693048477173, 0.07041332870721817]","[0.4427604079246521, 0.7224545478820801, -0.07212300598621368]"
"[0.4992438554763794, 0.5038201212882996, 0.05443035438656807]","[0.5380023121833801, 0.4934527575969696, 0.05591902881860733]","[0.5720808506011963, 0.49409475922584534, 0.06389088928699493]","[0.5962215065956116, 0.5026164054870605, 0.08424470573663712]","[0.5708678960800171, 0.5088737607002258, 0.060906413942575455]","[0.5367350578308105, 0.5088775157928467, 0.052092406898736954]","[0.3808891177177429, 0.5044251680374146, 0.045198600739240646]","[0.34733033180236816, 0.49457770586013794, 0.03591503947973251]","[0.31256985664367676, 0.4960843324661255, 0.037122514098882675]","[0.28502780199050903, 0.5048536658287048, 0.05271290987730026]","[0.3147393465042114, 0.5104365944862366, 0.03473132848739624]","[0.3497540354728699, 0.5096566677093506, 0.032655831426382065]","[0.36276137828826904, 0.6327933073043823, -0.04690638184547424]","[0.4276311695575714, 0.623039722442627, -0.07258407026529312]","[0.4699345529079437, 0.6226412653923035, -0.06775400042533875]","[0.5231699347496033, 0.6310946941375732, -0.029800012707710266]","[0.470127671957016, 0.6273472905158997, -0.06988772749900818]","[0.4268357455730438, 0.6277763843536377, -0.07485955208539963]","[0.4451878070831299, 0.3958146870136261, 0.07383072376251221]","[0.44689691066741943, 0.7218782305717468, -0.07624807953834534]"
"[0.5002235174179077, 0.5038003921508789, 0.05452153831720352]","[0.5388696193695068, 0.4939002990722656, 0.05602554231882095]","[0.5729037523269653, 0.494520902633667, 0.06407923996448517]","[0.5971860885620117, 0.502797544002533, 0.08447398990392685]","[0.5715960264205933, 0.5089725255966187, 0.061131156980991364]","[0.5375292897224426, 0.5088891983032227, 0.05225987732410431]","[0.3812709152698517, 0.5045661330223083, 0.04490189999341965]","[0.3479701280593872, 0.49503394961357117, 0.035529233515262604]","[0.3131757080554962, 0.4965013563632965, 0.03668437525629997]","[0.2853076457977295, 0.5050704479217529, 0.05223134905099869]","[0.3151557147502899, 0.5105741620063782, 0.034326180815696716]","[0.35020336508750916, 0.5097392797470093, 0.03231024742126465]","[0.36300379037857056, 0.6331279873847961, -0.047318533062934875]","[0.427426815032959, 0.6232703924179077, -0.07272946089506149]","[0.469562292098999, 0.622897207736969, -0.06785499304533005]","[0.5226297974586487, 0.6315003037452698, -0.0298545490950346]","[0.4697446823120117, 0.6277089715003967, -0.06971778720617294]","[0.4265522360801697, 0.6280954480171204, -0.07474461942911148]","[0.4470421373844147, 0.39575594663619995, 0.07404384016990662]","[0.4456805884838104, 0.7220821380615234, -0.07573216408491135]"
"[0.4988231062889099, 0.5037634372711182, 0.052885767072439194]","[0.5378460884094238, 0.4938187599182129, 0.05393555760383606]","[0.5719993710517883, 0.49452540278434753, 0.06183110550045967]","[0.5962294340133667, 0.502816915512085, 0.08232536911964417]","[0.5704026222229004, 0.5089390277862549, 0.059150781482458115]","[0.5361886620521545, 0.5088130831718445, 0.05047478899359703]","[0.38039064407348633, 0.5044050812721252, 0.044028911739587784]","[0.34693455696105957, 0.4948139190673828, 0.034681905061006546]","[0.31214267015457153, 0.4963463246822357, 0.036126550287008286]","[0.28460660576820374, 0.5048506259918213, 0.0520700179040432]","[0.31420740485191345, 0.5102653503417969, 0.03398381173610687]","[0.3492261469364166, 0.5095095634460449, 0.031727373600006104]","[0.36042630672454834, 0.6323075890541077, -0.04551002010703087]","[0.42451050877571106, 0.6229722499847412, -0.0713435709476471]","[0.466400682926178, 0.6226745247840881, -0.06673385202884674]","[0.5199568271636963, 0.6309857368469238, -0.029147718101739883]","[0.4665600657463074, 0.6271641850471497, -0.0685693770647049]","[0.4234621524810791, 0.6274701356887817, -0.07334697991609573]","[0.4459850490093231, 0.39608556032180786, 0.0708564966917038]","[0.4422973096370697, 0.7209194302558899, -0.07293388247489929]"
"[0.49884647130966187, 0.5033389329910278, 0.05286174640059471]","[0.5378843545913696, 0.49379998445510864, 0.054250601679086685]","[0.5719071626663208, 0.49475058913230896, 0.06256264448165894]","[0.5958762168884277, 0.5030552744865417, 0.08341887593269348]","[0.5700517296791077, 0.5088366270065308, 0.060053978115320206]","[0.5359880328178406, 0.5085116624832153, 0.05095969885587692]","[0.3802156448364258, 0.503238320350647, 0.04259749874472618]","[0.34698641300201416, 0.49370017647743225, 0.032673511654138565]","[0.3121694028377533, 0.49506676197052, 0.03375843167304993]","[0.28433436155319214, 0.5033409595489502, 0.04953224956989288]","[0.3142366409301758, 0.5087660551071167, 0.03186625987291336]","[0.3492603898048401, 0.5081146359443665, 0.029991909861564636]","[0.36064091324806213, 0.6318549513816833, -0.045460328459739685]","[0.4248585104942322, 0.6228078007698059, -0.07116002589464188]","[0.46700844168663025, 0.6226917505264282, -0.06592924147844315]","[0.5196978449821472, 0.6312927007675171, -0.02710603177547455]","[0.4671871066093445, 0.6281174421310425, -0.06747978180646896]","[0.4237729609012604, 0.6282298564910889, -0.07285453379154205]","[0.4469277560710907, 0.3961700201034546, 0.06871429830789566]","[0.4423612058162689, 0.7217563390731812, -0.07021419703960419]"
"[0.4988107979297638, 0.5032979249954224, 0.054186806082725525]","[0.5381014347076416, 0.49265599250793457, 0.05574056878685951]","[0.572446346282959, 0.49338066577911377, 0.06369704008102417]","[0.5965430736541748, 0.5021112561225891, 0.08410868793725967]","[0.5706986784934998, 0.508253812789917, 0.06074630469083786]","[0.5363944172859192, 0.5082139372825623, 0.05191214010119438]","[0.3805883526802063, 0.5035355091094971, 0.044928498566150665]","[0.34703847765922546, 0.49342867732048035, 0.03554900735616684]","[0.31223052740097046, 0.49491360783576965, 0.03674009442329407]","[0.28476768732070923, 0.5036970973014832, 0.052389007061719894]","[0.31450727581977844, 0.5091291666030884, 0.03440575674176216]","[0.3494763672351837, 0.5084920525550842, 0.032323502004146576]","[0.35897377133369446, 0.6316351890563965, -0.045994896441698074]","[0.42441922426223755, 0.6224744319915771, -0.0722448006272316]","[0.46745094656944275, 0.6222543716430664, -0.06727606058120728]","[0.5213381052017212, 0.6307030320167542, -0.02856307663023472]","[0.4675234854221344, 0.6270202398300171, -0.06965012848377228]","[0.42369407415390015, 0.6272667050361633, -0.07475269585847855]","[0.4451022744178772, 0.3954060971736908, 0.07250072807073593]","[0.44457754492759705, 0.722267746925354, -0.07583468407392502]"
"[0.49784016609191895, 0.5035238265991211, 0.053944870829582214]","[0.536266565322876, 0.49372968077659607, 0.05577623099088669]","[0.569917619228363, 0.4944954812526703, 0.06391081213951111]","[0.5936245322227478, 0.5027613043785095, 0.08434076607227325]","[0.5681875944137573, 0.5086069107055664, 0.061184242367744446]","[0.5345025062561035, 0.50840824842453, 0.05216441676020622]","[0.38031694293022156, 0.5035156607627869, 0.04354531317949295]","[0.3474059998989105, 0.4939216673374176, 0.03390738368034363]","[0.31291913986206055, 0.4951932430267334, 0.03475552797317505]","[0.2851851284503937, 0.5034406781196594, 0.04999368637800217]","[0.3150961399078369, 0.5087780356407166, 0.03260241076350212]","[0.3498263955116272, 0.5081623196601868, 0.030856681987643242]","[0.35823023319244385, 0.6311560273170471, -0.04552656039595604]","[0.424255907535553, 0.6223247051239014, -0.07118310034275055]","[0.46718737483024597, 0.6222309470176697, -0.06583282351493835]","[0.5203821063041687, 0.6305666565895081, -0.02674870751798153]","[0.46720385551452637, 0.6268138289451599, -0.06827954947948456]","[0.4235331416130066, 0.6269432306289673, -0.07381965219974518]","[0.4459546208381653, 0.3962492346763611, 0.07104809582233429]","[0.4428412914276123, 0.7216353416442871, -0.07452983409166336]"
"[0.4989617168903351, 0.5036048293113708, 0.05502842366695404]","[0.5380114316940308, 0.49290701746940613, 0.05695347115397453]","[0.5722172260284424, 0.49358367919921875, 0.06494782119989395]","[0.5962395668029785, 0.502306342124939, 0.08520840853452682]","[0.5705272555351257, 0.5084386467933655, 0.061857469379901886]","[0.536414623260498, 0.5084139704704285, 0.0529920719563961]","[0.3814215660095215, 0.5039865374565125, 0.04531857371330261]","[0.34806936979293823, 0.49379241466522217, 0.035951483994722366]","[0.31326767802238464, 0.49521076679229736, 0.0369134396314621]","[0.2856125235557556, 0.5040594339370728, 0.05225119739770889]","[0.3154751658439636, 0.5095341205596924, 0.034494541585445404]","[0.3504035770893097, 0.5088906288146973, 0.032585110515356064]","[0.3586614727973938, 0.6327053308486938, -0.04603869095444679]","[0.4250548779964447, 0.6231176257133484, -0.07308664917945862]","[0.4690643548965454, 0.6228801012039185, -0.06795576214790344]","[0.523258626461029, 0.631582498550415, -0.0278927031904459]","[0.4689318537712097, 0.6285593509674072, -0.07009058445692062]","[0.42423292994499207, 0.6288356781005859, -0.07536086440086365]","[0.44613873958587646, 0.39599430561065674, 0.0743059366941452]","[0.44542592763900757, 0.7238134145736694, -0.07744713127613068]"
"[0.49609559774398804, 0.503511905670166, 0.05509296804666519]","[0.5346626043319702, 0.49364158511161804, 0.05691859498620033]","[0.5684616565704346, 0.4942934215068817, 0.06492871046066284]","[0.5925800204277039, 0.5026192665100098, 0.08524990826845169]","[0.5672348737716675, 0.5086369514465332, 0.06187139451503754]","[0.5333077907562256, 0.5085313320159912, 0.05303481966257095]","[0.3785232901573181, 0.5041011571884155, 0.04542021080851555]","[0.345356285572052, 0.4946630001068115, 0.036083441227674484]","[0.3109467029571533, 0.4961383640766144, 0.037174783647060394]","[0.28321659564971924, 0.5045961141586304, 0.05260443687438965]","[0.31283003091812134, 0.5098251104354858, 0.0347297340631485]","[0.34762537479400635, 0.5090588331222534, 0.03278927132487297]","[0.35641011595726013, 0.6310338377952576, -0.046894870698451996]","[0.422372967004776, 0.6215771436691284, -0.07313024997711182]","[0.46563026309013367, 0.6213740110397339, -0.06800931692123413]","[0.5194154977798462, 0.6300527453422546, -0.029044965282082558]","[0.46559786796569824, 0.6265975832939148, -0.07068754732608795]","[0.421408087015152, 0.6268386244773865, -0.07595793902873993]","[0.44304656982421875, 0.3964013457298279, 0.07580233365297318]","[0.4417707026004791, 0.720474123954773, -0.07854209095239639]"
"[0.4982718229293823, 0.5039424896240234, 0.05568825080990791]","[0.5370708703994751, 0.4936455190181732, 0.0577276386320591]","[0.571261465549469, 0.49433502554893494, 0.0659915879368782]","[0.5953242778778076, 0.5028904676437378, 0.08645360171794891]","[0.5697532892227173, 0.5090147256851196, 0.06279759854078293]","[0.5357801914215088, 0.5089062452316284, 0.05378644913434982]","[0.379136860370636, 0.5045095682144165, 0.045407213270664215]","[0.34587621688842773, 0.49458256363868713, 0.035854779183864594]","[0.3108445405960083, 0.49603307247161865, 0.03676736354827881]","[0.2828209400177002, 0.5048405528068542, 0.05212876573204994]","[0.31294113397598267, 0.5103073120117188, 0.034304723143577576]","[0.3479878902435303, 0.5095402002334595, 0.03247714042663574]","[0.3607662320137024, 0.6338313817977905, -0.048486486077308655]","[0.4255477488040924, 0.623192310333252, -0.07483009248971939]","[0.46826791763305664, 0.6229356527328491, -0.06954526901245117]","[0.5202953219413757, 0.6325922012329102, -0.029679853469133377]","[0.4683922231197357, 0.6304965615272522, -0.07038116455078125]","[0.4242606461048126, 0.6307995319366455, -0.07584422081708908]","[0.44493263959884644, 0.39704257249832153, 0.07638263702392578]","[0.4446582794189453, 0.7234053611755371, -0.07595481723546982]"
"[0.4974542260169983, 0.5033377408981323, 0.05475581809878349]","[0.5363346338272095, 0.49287429451942444, 0.05647033452987671]","[0.5707181692123413, 0.49326419830322266, 0.0646238848567009]","[0.5952264070510864, 0.5015779137611389, 0.0851614698767662]","[0.5696074962615967, 0.5079782009124756, 0.06153743714094162]","[0.5352818369865417, 0.5081344842910767, 0.05263453722000122]","[0.3778485655784607, 0.5044811367988586, 0.04517146572470665]","[0.34400129318237305, 0.4949871897697449, 0.035681404173374176]","[0.3089863657951355, 0.496579647064209, 0.03689762204885483]","[0.28109121322631836, 0.5052827596664429, 0.052569471299648285]","[0.3113085627555847, 0.5105980634689331, 0.03444477915763855]","[0.3466121554374695, 0.5096593499183655, 0.03244062513113022]","[0.3579206168651581, 0.6317322254180908, -0.04635608568787575]","[0.4249873161315918, 0.6221804618835449, -0.0734136551618576]","[0.4691264033317566, 0.621785581111908, -0.06820791214704514]","[0.5233535766601562, 0.6299964785575867, -0.02823820523917675]","[0.4690088629722595, 0.6271776556968689, -0.07073355466127396]","[0.4240405857563019, 0.6276211738586426, -0.07607626169919968]","[0.44127532839775085, 0.3955676257610321, 0.07412081956863403]","[0.4467530846595764, 0.7207687497138977, -0.076823890209198]"
"[0.49676620960235596, 0.5042927861213684, 0.055052515119314194]","[0.5351574420928955, 0.49451351165771484, 0.056419577449560165]","[0.5688462257385254, 0.49503278732299805, 0.06408224254846573]","[0.5933473706245422, 0.5030978918075562, 0.08391713351011276]","[0.5676680207252502, 0.5091398358345032, 0.06086087226867676]","[0.5339127779006958, 0.5091449618339539, 0.05242941528558731]","[0.3786123991012573, 0.5052639245986938, 0.04669642075896263]","[0.3459740877151489, 0.4959005117416382, 0.03776118904352188]","[0.3116927742958069, 0.4973496198654175, 0.03916974738240242]","[0.28400492668151855, 0.5058730840682983, 0.054650094360113144]","[0.31346288323402405, 0.5111297369003296, 0.03658900782465935]","[0.3478924632072449, 0.5103341341018677, 0.03432757779955864]","[0.3612450957298279, 0.6332774758338928, -0.04792192578315735]","[0.4241184592247009, 0.6231163740158081, -0.07374536991119385]","[0.4662263095378876, 0.6226984858512878, -0.0692535936832428]","[0.5191330313682556, 0.6315315365791321, -0.03188718482851982]","[0.466408371925354, 0.6284619569778442, -0.07135634124279022]","[0.4232063293457031, 0.6288827061653137, -0.07596983015537262]","[0.4432183802127838, 0.3971659541130066, 0.07779912650585175]","[0.44368839263916016, 0.7220577597618103, -0.07846788316965103]"
